Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
231101,PUERTO INCA,10,RIO UCAYALI,ALTO HUALLAGA,PACHITEA,HUANUCO,PTO. INCA,PTO. INCA,74.96083333,9.381388889,249,1994,1SENAMHI,NIV
231203,SAN ALEJANDRO,10,RIO UCAYALI,AGUAYTIA,AGUAYTIA,UCAYALI,PADRE ABAD,IRAZOLA,75.21027778,8.827777778,244,2000,1SENAMHI,NIV
221825,SAN RAFAEL,10,RIO MARANON,ALTO HUALLAGA,ALTO HUALLAGA,HUANUCO,AMBO,SAN RAFAEL,76.17916667,10.33,2600,1965,1SENAMHI,NIV
221822,TINGO MARIA,10,RIO MARANON,ALTO HUALLAGA,HUALLAGA,HUANUCO,LEONCIO PRADO,RUPA RUPA,75.98777778,9.291944444,691,1997,1SENAMHI,NIV
230938,PERENE,11,RIO UCAYALI,PERENE,PERENE,JUNIN,CHANCHAMAYO,PERENE,74.83055556,10.94916667,660,1994,1SENAMHI,NIV
230939,PUENTE BRENA,11,RIO UCAYALI,MANTARO,MANTARO,JUNIN,HUANCAYO,TAMBO,75.24166667,12.04777778,3220,1994,1SENAMHI,NIV
230940,RIO CUNAS,11,RIO UCAYALI,MANTARO,CUNAS,JUNIN,CHUPACA,CHUPACA,75.28333333,12.05416667,3240,1995,1SENAMHI,NIV
230941,SHULLCAS,11,RIO UCAYALI,MANTARO,SHULLCA,JUNIN,HUANCAYO,EL TAMBO,75.15833333,12.00277778,3510,1995,1SENAMHI,NIV
230301,PAUCARTAMBO,12,RIO UCAYALI,YAVERO,PAUCARTAMBO,CUSCO,PAUCARTAMBO,PAUCARTAMBO,71.595,13.31444444,3042,1965,1SENAMHI,NIV
230401,PISAC,12,RIO UCAYALI,URUBAMBA,VILCANOTA,CUSCO,CALCA,PISAC,71.84111111,13.4275,2971,1965,1SENAMHI,NIV
230502,PUENTE COLCA _ SANTO TOMAS,12,RIO UCAYALI,APURIMAC,SANTO TOMAS,CUZCO,CHUMBIBILCAS,SANTO TOMAS,72.08333333,14.45,3660,1995,1SENAMHI,NIV
230503,PUENTE CUNYAC,12,RIO UCAYALI,APURIMAC,APURIMAC,APURIMAC,ABANCAY,CURAHUASI,72.57361111,13.55972222,2345,1996,1SENAMHI,NIV
230703,PUENTE PAMPAS,12,RIO UCAYALI,PAMPAS,PAMPAS,APURIMAC,CHINCHEROS,CHINCHEROS,73.81666667,13.45,2200,1965,1SENAMHI,NIV
230715,CHACLLABAMBA,12,RIO UCAYALI,URUBAMBA,PAUCARTAMBO,CUSCO,PAUCARTAMBO,CHALLABAMBA,71.72055556,13.10694444,2518,2002,CONVENIO,NIV
210103,AYAVIRI,13,LAGO TITICACA,RAMIS,RAMIS,PUNO,MELGAR,AYAVIRI,70.58555556,14.8925,3932,1994,1SENAMHI,AFO
210102,AZANGARO,13,LAGO TITICACA,RAMIS,RAMIS,PUNO,AZANGARO,AZANGARO,70.18936111,14.91975,3860,1994,1SENAMHI,AFO
250106,LIMBANI,13,RIO MADRE DE DIOS,INAMBARI,HUARI HUARI,PUNO,SANDIA,LIMBANI,69.70561111,14.15375,3320,2000,1SENAMHI,NIV
210902,MUELLE LAGO,13,LAGO TITICACA,TITICACA,TITICACA,PUNO,PUNO,PUNO,70.02355556,15.838,3808,1914,1SENAMHI,NIV
210202,PUCARA PUENTE CALAPUJA,13,LAGO TITICACA,RAMIS,RAMIS,PUNO,LAMPA,PUCARA,70.33333333,15.53333333,3910,2004,1SENAMHI,AFO
210201,PUENTE CARRETERA HUANCANE,13,LAGO TITICACA,HUANCANE,HUANCANE,PUNO,HUANCANE,HUANCANE,69.79258333,15.21647222,3860,1956,1SENAMHI,AFO
210301,PUENTE CARRETERA ILAVE,13,LAGO TITICACA,ILAVE,ILAVE,PUNO,EL COLLAO,ILAVE,69.62591667,16.08825,3850,1956,1SENAMHI,AFO
210101,PUENTE CARRETERA RAMIS,13,LAGO TITICACA,RAMIS,RAMIS,PUNO,HUANCANE,HUANCANE,69.87380556,15.25544444,3850,1956,1SENAMHI,AFO
210501,PUENTE INTERNACIONAL DESAGUADERO,13,LAGO TITICACA,CALLACAME,DESAGUADERO,PUNO,CHUCUITO,DESAGUADERO,69.03733333,16.56383333,3820,1956,1SENAMHI,AFO
210406,PUENTE ISLA CABANILLAS,13,LAGO TITICACA,CABANILLAS,COATA,PUNO,SAN ROMAN,JULIACA,70.22436111,15.47211111,3850,1994,1SENAMHI,AFO
210405,PUENTE MOCAYACHE_LAMPA,13,LAGO TITICACA,CABANILLAS,COATA,PUNO,LAMPA,LAMPA,70.20902778,15.44386111,3838,1994,1SENAMHI,AFO
210407,PUENTE UNOCOLLA,13,LAGO TITICACA,CABANILLAS,COATA,PUNO,SAN ROMAN,JULIACA,70.19158333,15.45102778,3835,1970,1SENAMHI,AFO
210502,PUENTE YOROHOCO,13,LAGO TITICACA,CALLACAME,CCALLACCANE,PUNO,CHUCUITO,HUACULLANI,69.32258333,16.57097222,3951,1994,1SENAMHI,AFO
210801,PUENTE ZAPATILLA,13,LAGO TITICACA,ILAVE,ZAPATILLA,PUNO,EL COLLAO,ILAVE,69.57094444,16.14038889,3840,1956,1SENAMHI,AFO
210304,PUTINA,13,LAGO TITICACA,HUANCANE,HUANCANE,PUNO,S.A.PUTINA,PUTINA,69.85,15.06666667,3878,2004,1SENAMHI,AFO
210403,RIO VERDE,13,LAGO TITICACA,VERDE,RIO VERDE,PUNO,LAMPA,SANTA LUCIA,70.71191667,15.56172222,4250,1969,1SENAMHI,AFO
205106,SALADO,13,PACIFICO,SAMA,SALADO,TACNA,TARATA,SITAJARA,70.13333333,17.36666667,3136,2004,1SENAMHI,AFO
